	start	end	Support	Neutral	Contradict
1_2	1	2	2.787	3.768	2.748
2_3	2	3	1.801	2.055	1.940
3_4	3	4	1.206	1.443	1.119
4_5	4	5	0.872	1.119	0.820
5_6	5	6	0.694	0.892	0.735
6_7	6	7	0.689	0.735	0.537
7_8	7	8	0.543	0.704	0.543
8_9	8	9	0.401	0.580	0.535
9_10	9	10	0.323	0.709	0.393
10_11	10	11	0.303	0.478	0.330
11_12	11	12	0.327	0.497	0.459
12_13	12	13	0.346	0.452	0.371
13_14	13	14	0.281	0.414	0.262
14_15	14	15	0.261	0.419	0.245
15_16	15	16	0.218	0.340	0.255
16_17	16	17	0.288	0.310	0.192
17_18	17	18	0.233	0.321	0.296
18_19	18	19	0.233	0.302	0.228
19_20	19	20	0.202	0.264	0.172
20_21	20	21	0.179	0.267	0.165
21_22	21	22	0.149	0.239	0.181
22_23	22	23	0.148	0.309	0.216
23_24	23	24	0.211	0.190	0.134
24_25	24	25	0.212	0.222	0.148
25_26	25	26	0.138	0.215	0.172
26_27	26	27	0.128	0.174	0.118
27_28	27	28	0.122	0.216	0.155
28_29	28	29	0.159	0.188	0.126
29_30	29	30	0.178	0.187	0.145
30_31	30	31	0.113	0.164	0.121
31_32	31	32	0.197	0.177	0.141
32_33	32	33	0.141	0.137	0.146
33_34	33	34	0.107	0.140	0.125
34_35	34	35	0.096	0.170	0.134
35_36	35	36	0.105	0.166	0.112
36_37	36	37	0.086	0.196	0.112
37_38	37	38	0.091	0.121	0.116
38_39	38	39	0.093	0.143	0.084
39_40	39	40	0.083	0.118	0.080
40_41	40	41	0.079	0.117	0.106
41_42	41	42	0.099	0.124	0.082
42_43	42	43	0.102	0.125	0.086
43_44	43	44	0.151	0.111	0.084
44_45	44	45	0.072	0.113	0.087
45_46	45	46	0.099	0.100	0.218
46_47	46	47	0.079	0.111	0.113
47_48	47	48	0.067	0.105	0.074
48_49	48	49	0.093	0.124	0.068
49_50	49	50	0.079	0.123	0.100
50_51	50	51	0.071	0.099	0.071
51_52	51	52	0.098	0.085	0.061
52_53	52	53	0.070	0.090	0.062
53_54	53	54	0.061	0.090	0.065
54_55	54	55	0.088	0.114	0.110
55_56	55	56	0.063	0.119	0.089
56_57	56	57	0.056	0.088	0.058
57_58	57	58	0.071	0.083	0.079
58_59	58	59	0.053	0.094	0.056
59_60	59	60	0.065	0.092	0.073
60_61	60	61	0.080	0.159	0.060
61_62	61	62	0.057	0.096	0.061
62_63	62	63	0.064	0.098	0.063
63_64	63	64	0.058	0.089	0.070
64_65	64	65	0.069	0.076	0.052
65_66	65	66	0.049	0.079	0.059
66_67	66	67	0.050	0.076	0.062
67_68	67	68	0.048	0.090	0.052
68_69	68	69	0.048	0.087	0.060
69_70	69	70	0.044	0.074	0.068
70_71	70	71	0.051	0.071	0.047
71_72	71	72	0.045	0.077	0.051
72_73	72	73	0.045	0.070	0.072
73_74	73	74	0.074	0.073	0.062
74_75	74	75	0.044	0.124	0.060
75_76	75	76	0.045	0.068	0.046
76_77	76	77	0.039	0.066	0.061
77_78	77	78	0.046	0.059	0.056
78_79	78	79	0.045	0.068	0.078
79_80	79	80	0.075	0.069	0.041
80_81	80	81	0.048	0.079	0.050
81_82	81	82	0.039	0.074	0.040
82_83	82	83	0.047	0.067	0.049
83_84	83	84	0.043	0.066	0.050
84_85	84	85	0.051	0.051	0.044
85_86	85	86	0.042	0.073	0.043
86_87	86	87	0.037	0.056	0.040
87_88	87	88	0.062	0.059	0.042
88_89	88	89	0.043	0.062	0.045
89_90	89	90	0.036	0.076	0.037
90_91	90	91	0.037	0.063	0.061
91_92	91	92	0.033	0.054	0.056
92_93	92	93	0.041	0.056	0.058
93_94	93	94	0.052	0.058	0.056
94_95	94	95	0.047	0.050	0.044
95_96	95	96	0.061	0.060	0.058
96_97	96	97	0.049	0.069	0.039
97_98	97	98	0.040	0.055	0.044
98_99	98	99	0.042	0.047	0.045
99_100	99	100	0.050	0.054	0.033
