	start	end	Support	Neutral	Contradict
1_2	1	2	5.772	8.486	6.569
2_3	2	3	4.373	4.531	4.583
3_4	3	4	2.754	3.466	2.404
4_5	4	5	2.089	2.569	1.994
5_6	5	6	1.581	2.174	2.169
6_7	6	7	1.553	1.764	1.233
7_8	7	8	1.213	1.664	1.148
8_9	8	9	0.967	1.222	1.263
9_10	9	10	0.864	1.129	0.841
10_11	10	11	0.739	1.095	0.822
11_12	11	12	0.738	0.990	0.839
12_13	12	13	0.750	0.974	0.871
13_14	13	14	0.555	0.788	0.618
14_15	14	15	0.562	0.741	0.616
15_16	15	16	0.534	0.746	0.567
16_17	16	17	0.703	0.667	0.454
17_18	17	18	0.514	0.689	0.729
18_19	18	19	0.707	0.632	0.725
19_20	19	20	0.434	0.704	0.389
20_21	20	21	0.393	0.533	0.496
21_22	21	22	0.385	0.457	0.442
22_23	22	23	0.322	0.481	0.471
23_24	23	24	0.327	0.492	0.320
24_25	24	25	0.385	0.466	0.412
25_26	25	26	0.290	0.450	0.420
26_27	26	27	0.282	0.445	0.300
27_28	27	28	0.260	0.436	0.362
28_29	28	29	0.368	0.413	0.396
29_30	29	30	0.271	0.389	0.314
30_31	30	31	0.281	0.380	0.263
31_32	31	32	0.381	0.370	0.415
32_33	32	33	0.294	0.300	0.301
33_34	33	34	0.216	0.329	0.293
34_35	34	35	0.236	0.320	0.334
35_36	35	36	0.205	0.278	0.228
36_37	36	37	0.238	0.328	0.332
37_38	37	38	0.200	0.310	0.352
38_39	38	39	0.233	0.278	0.224
39_40	39	40	0.190	0.297	0.205
40_41	40	41	0.181	0.295	0.194
41_42	41	42	0.187	0.249	0.226
42_43	42	43	0.174	0.245	0.227
43_44	43	44	0.222	0.249	0.192
44_45	44	45	0.155	0.274	0.238
45_46	45	46	0.204	0.266	0.174
46_47	46	47	0.186	0.267	0.266
47_48	47	48	0.160	0.225	0.200
48_49	48	49	0.178	0.212	0.201
49_50	49	50	0.179	0.215	0.220
50_51	50	51	0.142	0.231	0.194
51_52	51	52	0.192	0.183	0.150
52_53	52	53	0.150	0.214	0.152
53_54	53	54	0.163	0.242	0.228
54_55	54	55	0.154	0.224	0.197
55_56	55	56	0.129	0.211	0.203
56_57	56	57	0.126	0.192	0.132
57_58	57	58	0.173	0.178	0.201
58_59	58	59	0.135	0.234	0.138
59_60	59	60	0.187	0.203	0.193
60_61	60	61	0.135	0.177	0.143
61_62	61	62	0.206	0.192	0.155
62_63	62	63	0.113	0.183	0.181
63_64	63	64	0.138	0.167	0.132
64_65	64	65	0.202	0.146	0.133
65_66	65	66	0.108	0.183	0.134
66_67	66	67	0.109	0.176	0.130
67_68	67	68	0.114	0.169	0.128
68_69	68	69	0.109	0.156	0.164
69_70	69	70	0.106	0.178	0.134
70_71	70	71	0.119	0.156	0.162
71_72	71	72	0.138	0.152	0.130
72_73	72	73	0.122	0.161	0.167
73_74	73	74	0.164	0.162	0.142
74_75	74	75	0.113	0.160	0.141
75_76	75	76	0.092	0.149	0.140
76_77	76	77	0.089	0.162	0.104
77_78	77	78	0.105	0.137	0.143
78_79	78	79	0.095	0.154	0.171
79_80	79	80	0.156	0.157	0.144
80_81	80	81	0.109	0.134	0.105
81_82	81	82	0.086	0.130	0.098
82_83	82	83	0.099	0.126	0.135
83_84	83	84	0.084	0.137	0.128
84_85	84	85	0.109	0.118	0.092
85_86	85	86	0.081	0.138	0.136
86_87	86	87	0.088	0.127	0.124
87_88	87	88	0.096	0.117	0.125
88_89	88	89	0.103	0.126	0.099
89_90	89	90	0.099	0.148	0.088
90_91	90	91	0.110	0.129	0.137
91_92	91	92	0.077	0.141	0.124
92_93	92	93	0.087	0.123	0.124
93_94	93	94	0.104	0.111	0.110
94_95	94	95	0.077	0.103	0.107
95_96	95	96	0.127	0.112	0.094
96_97	96	97	0.113	0.115	0.101
97_98	97	98	0.078	0.127	0.106
98_99	98	99	0.107	0.106	0.127
99_100	99	100	0.094	0.107	0.087
